Sr.No,Title,Price,Star Ratings
481,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,Two
482,Future Shock (Future Shock #1),55.65,Five
483,Ender's Game (The Ender Quintet #1),43.64,One
484,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,One
485,Death by Leisure: A Cautionary Tale,37.51,Four
486,Brilliant Beacons: A History of the American Lighthouse,11.45,Three
487,Brazen: The Courage to Find the You That's Been Hiding,19.22,Two
488,Between the World and Me,56.91,Four
489,Being Mortal: Medicine and What Matters in the End,55.06,Four
490,"A Murder Over a Girl: Justice, Gender, Junior High",13.2,Three
491,32 Yolks,53.63,Two
492,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,Five
493,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,Three
494,Wildlife of New York: A Five-Borough Coloring Book,22.14,Two
495,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five
496,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,Two
497,Under the Tuscan Sun,37.33,Three
498,Toddlers Are A**holes: It's Not Your Fault,25.55,One
499,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,One
500,The Whale,35.96,Four
501,The Story of Art,41.14,Four
502,The Origin of Species,10.01,Four
503,The Great Gatsby,36.05,Four
504,The Good Girl,49.03,Three
505,The Glass Castle,16.24,One
506,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,One
507,The Drowning Girls,35.67,Three
508,The Constant Princess (The Tudor Court #1),16.62,Three
509,The Bourne Identity (Jason Bourne #1),42.78,Four
510,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five
511,The Art Book,32.34,Two
512,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,Four
513,Team of Rivals: The Political Genius of Abraham Lincoln,20.12,Five
514,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,Two
515,"Sit, Stay, Love",20.9,Three
516,Sister Dear,40.2,Four
517,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,Three
518,"Rich Dad, Poor Dad",51.74,One
519,Raymie Nightingale,34.41,Two
520,Playing from the Heart,32.38,One
521,Nightstruck: A Novel,50.35,Four
522,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,Five
523,Meternity,43.58,Three
524,Memoirs of a Geisha,49.67,Three
525,Like Never Before (Walker Family #2),28.77,Two
526,Life of Pi,13.22,Four
527,Leave This Song Behind: Teen Poetry at Its Best,51.17,Five
528,King's Folly (The Kinsman Chronicles #1),39.61,Five
529,John Adams,57.43,Four
530,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,Four
531,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,Two
532,Good in Bed (Cannie Shapiro #1),37.05,Five
533,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,One
534,For the Love: Fighting for Grace in a World of Impossible Standards,45.13,Three
535,Finding God in the Ruins: How God Redeems Pain,46.64,Two
536,Every Heart a Doorway (Every Heart A Doorway #1),12.16,Five
537,Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four
538,Counted With the Stars (Out from Egypt #1),17.97,Five
539,"Chronicles, Vol. 1",52.6,Two
540,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,One
541,Benjamin Franklin: An American Life,48.19,Three
542,"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,Five
543,A Summer In Europe,44.34,Two
544,A Short History of Nearly Everything,52.4,Five
545,A Gathering of Shadows (Shades of Magic #2),44.81,Four
546,The Sound Of Love,57.84,Five
547,The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,Two
548,The Perks of Being a Wallflower,55.02,Three
549,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four
550,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,Four
551,The Makings of a Fatherless Child,31.58,Two
552,The Joy of Cooking,43.27,Four
553,The Invention of Wings,37.34,One
554,The Hobbit (Middle-Earth Universe),17.8,Five
555,The Great Railway Bazaar,30.54,One
556,The Golden Compass (His Dark Materials #1),18.77,One
557,The God Delusion,46.85,Three
558,The Girl You Left Behind (The Girl You Left Behind #1),15.79,One
559,The Fellowship of the Ring (The Lord of the Rings #1),10.27,Two
560,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,Five
561,The Barefoot Contessa Cookbook,59.92,Five
562,Tell the Wolves I'm Home,50.96,Two
563,Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,Three
564,Pride and Prejudice,19.27,Four
565,Musicophilia: Tales of Music and the Brain,46.58,One
566,Mere Christianity,48.51,Three
567,Me Before You (Me Before You #1),19.02,One
568,In the Woods (Dublin Murder Squad #1),38.38,Two
569,In Cold Blood,49.98,Four
570,How to Stop Worrying and Start Living,46.49,Five
571,Give It Back,18.32,Two
572,"Girl, Interrupted",42.14,Three
573,Fun Home: A Family Tragicomic,56.59,Four
574,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,Four
575,Deception Point,40.32,Four
576,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,Three
577,Catherine the Great: Portrait of a Woman,58.55,Four
578,Better Homes and Gardens New Cook Book,39.61,Three
579,An Unquiet Mind: A Memoir of Moods and Madness,21.3,Three
580,A Year in Provence (Provence #1),56.88,Four
581,World Without End (The Pillars of the Earth #2),32.97,Four
582,"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,Four
583,Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,Two
584,Where She Went (If I Stay #2),41.73,Four
585,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,Four
586,Two Summers,14.64,One
587,This Is Your Brain on Music: The Science of a Human Obsession,38.4,One
588,The Secret Garden,15.08,Four
589,The Raven King (The Raven Cycle #4),30.57,Two
590,The Raven Boys (The Raven Cycle #1),57.74,Four
591,The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,Five
592,The Metamorphosis,28.58,One
593,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,Five
594,The Little Paris Bookshop,24.73,Three
595,The Hiding Place,55.91,Four
596,The Grand Design,13.76,Three
597,The Firm,45.56,Three
598,The Fault in Our Stars,47.22,One
599,The False Prince (The Ascendance Trilogy #1),56.0,Five
600,The Expatriates,44.58,Two
601,The Dream Thieves (The Raven Cycle #2),34.5,One
602,The Darkest Corners,11.33,Five
603,The Crossover,38.77,Four
604,The 5th Wave (The 5th Wave #1),11.83,Two
605,Tell the Wind and Fire,45.51,Three
606,Tell Me Three Things,41.81,One
607,Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,Four
608,Siddhartha,34.22,Five
609,Shiver (The Wolves of Mercy Falls #1),16.23,Five
610,Remember Me?,11.48,Three
611,Red Dragon (Hannibal Lecter #1),23.37,Three
612,Peak: Secrets from the New Science of Expertise,16.28,Two
613,My Mother Was Nuts,31.63,Four
614,Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,Five
615,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,One
616,Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,Four
617,Logan Kade (Fallen Crest High #5.5),13.12,Two
618,Last One Home (New Beginnings #1),59.98,Three
619,Killing Floor (Jack Reacher #1),31.49,Four
620,Kill the Boy Band,15.52,Five
621,Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,Five
622,If I Stay (If I Stay #1),38.13,Five
623,I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,Two
624,Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,One
625,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,One
626,Foundation (Foundation (Publication Order) #1),32.42,One
627,Fool Me Once,16.96,One
628,Find Her (Detective D.D. Warren #8),22.37,One
629,Evicted: Poverty and Profit in the American City,42.27,One
630,Drama,38.7,Two
631,Dracula the Un-Dead,35.63,Five
632,Digital Fortress,58.0,Five
633,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,One
634,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,Three
635,Critique of Pure Reason,20.75,One
636,Booked,17.49,Five
637,"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,Five
638,Approval Junkie: Adventures in Caring Too Much,58.81,Five
639,An Abundance of Katherines,10.0,Five
640,America's War for the Greater Middle East: A Military History,51.22,Two
641,Alight (The Generations Trilogy #2),58.59,Four
642,A Girl's Guide to Moving On (New Beginnings #2),31.3,One
643,A Game of Thrones (A Song of Ice and Fire #1),46.42,Two
644,A Feast for Crows (A Song of Ice and Fire #4),17.21,Four
645,A Clash of Kings (A Song of Ice and Fire #2),10.79,Three
646,Vogue Colors A to Z: A Fashion Coloring Book,52.35,Four
647,The Shining (The Shining #1),27.88,Three
648,The Pilgrim's Progress,50.26,Two
649,The Perfect Play (Play by Play #1),59.99,Three
650,The Passion of Dolssa,28.32,Five
651,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,Three
652,The Hunger Games (The Hunger Games #1),29.85,Five
653,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Two
654,The Gunning of America: Business and the Making of American Gun Culture,16.81,Four
655,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,Two
656,The Demonists (Demonist #1),52.11,Two
657,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,Two
658,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,Three
659,The Beast (Black Dagger Brotherhood #14),46.08,Five
660,Some Women,13.73,Five
661,Shopaholic Ties the Knot (Shopaholic #3),48.39,Five
662,Paper and Fire (The Great Library #2),49.45,Five
663,Outlander (Outlander #1),19.67,Five
664,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,Three
665,No One Here Gets Out Alive,20.02,Five
666,Night Shift (Night Shift #1-20),12.75,Four
667,Needful Things,47.51,Four
668,Mockingjay (The Hunger Games #3),20.44,Four
669,Misery,34.79,Two
670,Little Women (Little Women #1),28.07,Four
671,It,25.01,Three
672,Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,Three
673,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,Four
674,Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,Four
675,Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,Five
676,Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,One
677,Gone with the Wind,32.49,Three
678,God Is Not Great: How Religion Poisons Everything,27.8,One
679,Girl With a Pearl Earring,26.77,One
680,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,Four
681,Far From True (Promise Falls Trilogy #2),34.93,Two
682,Dark Lover (Black Dagger Brotherhood #1),12.87,One
683,Confessions of a Shopaholic (Shopaholic #1),48.94,Two
684,Changing the Game (Play by Play #2),13.38,Three
685,Candide,58.63,Three
686,Can You Keep a Secret?,21.94,One
687,Atlas Shrugged,26.58,Five
688,Animal Farm,57.22,Three
689,A Walk to Remember,56.43,One
690,A New Earth: Awakening to Your Life's Purpose,55.65,Five
691,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,One
692,'Salem's Lot,49.56,Four
693,Zero History (Blue Ant #3),34.77,One
694,Wuthering Heights,17.73,Three
695,World War Z: An Oral History of the Zombie War,21.8,One
696,Wild: From Lost to Found on the Pacific Crest Trail,46.02,Three
697,"Where'd You Go, Bernadette",18.13,One
698,When You Are Engulfed in Flames,30.89,Five
699,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,Three
700,We Are All Completely Beside Ourselves,24.04,One
701,Walk the Edge (Thunder Road #2),32.36,Three
702,Voyager (Outlander #3),21.07,Five
703,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,Three
704,Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,Two
705,"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,One
706,Under the Banner of Heaven: A Story of Violent Faith,30.0,One
707,Two Boys Kissing,32.74,Two
708,Twilight (Twilight #1),41.93,Two
709,Twenties Girl,42.8,Two
710,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,One
711,Three-Martini Lunch,23.21,Three
712,"Thinking, Fast and Slow",21.14,One
713,The Wild Robot,56.07,Three
714,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,Three
715,The Undomestic Goddess,45.75,Four
716,The Travelers,15.77,One
717,The Tipping Point: How Little Things Can Make a Big Difference,10.02,Two
718,The Thing About Jellyfish,48.77,One
719,The Stand,57.86,Two
720,The Smitten Kitchen Cookbook,23.59,One
721,The Silkworm (Cormoran Strike #2),23.05,Five
722,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,Five
723,The Rose & the Dagger (The Wrath and the Dawn #2),58.64,Four
724,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,One
725,The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,Three
726,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,One
727,The Rest Is Noise: Listening to the Twentieth Century,34.77,One
728,The Red Tent,35.66,Five
729,The Purpose Driven Life: What on Earth Am I Here for?,37.19,Three
730,The Purest Hook (Second Circle Tattoos #3),12.25,One
731,The Picture of Dorian Gray,29.7,Two
732,The Paris Wife,36.8,Three
733,The Obsession,45.43,One
734,The Nightingale,26.26,Four
735,The New Guy (and Other Senior Year Distractions),44.92,Three
736,The Nanny Diaries (Nanny #1),52.53,Five
737,The Name of God is Mercy,37.25,Two
738,The Maze Runner (The Maze Runner #1),20.93,One
739,The Lover's Dictionary,58.09,Two
740,The Lonely Ones,43.59,Five
741,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,Three
742,The Last Painting of Sara de Vos,55.55,Two
743,"The Land of 10,000 Madonnas",29.64,Four
744,The Infinities,27.41,One
745,The Husband's Secret,52.51,Five
746,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,Three
747,The Guns of August,14.54,Two
748,The Guernsey Literary and Potato Peel Pie Society,49.53,One
749,The Goldfinch,43.58,Three
750,The Giver (The Giver Quartet #1),12.3,One
751,The Girl with All the Gifts,49.47,Three
752,The Girl Who Played with Fire (Millennium Trilogy #2),22.14,Two
753,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,One
754,The Exiled,43.45,Three
755,"The End of Faith: Religion, Terror, and the Future of Reason",22.13,Four
756,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,Four
757,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,Five
758,The Devil Wears Prada (The Devil Wears Prada #1),44.29,One
759,The Demon-Haunted World: Science as a Candle in the Dark,52.25,Four
760,The Day the Crayons Came Home (Crayons),26.33,Five
761,The Da Vinci Code (Robert Langdon #2),22.96,Two
762,The Cuckoo's Calling (Cormoran Strike #1),19.21,One
763,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,Four
764,The Complete Poems,41.32,Five
765,The Catcher in the Rye,24.55,One
766,The Cat in the Hat (Beginner Books B-1),16.26,Two
767,The Case for Christ (Cases for Christianity),47.84,One
768,The Book Thief,53.49,Two
769,The Book of Basketball: The NBA According to The Sports Guy,44.84,Five
770,The Blind Side: Evolution of a Game,53.71,Five
771,The Autobiography of Malcolm X,23.43,Two
772,"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,Three
773,The Art of Fielding,22.1,One
774,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,Two
775,Stiff: The Curious Lives of Human Cadavers,36.74,Three
776,Spilled Milk: Based on a True Story,49.51,One
777,Something Borrowed (Darcy & Rachel #1),48.96,Five
778,Something Blue (Darcy & Rachel #2),54.62,One
779,Soldier (Talon #3),24.72,Two
780,Shopaholic & Baby (Shopaholic #5),46.45,Two
781,Seven Days in the Art World,52.33,Two
782,Seven Brief Lessons on Physics,30.6,Four
783,Scarlet (The Lunar Chronicles #2),14.57,Four
784,Sarah's Key,46.29,One
785,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,Five
786,Running with Scissors,12.91,Four
787,Rogue Lawyer (Rogue Lawyer #1),50.11,Three
788,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,Four
789,Rework,44.88,Two
790,Reservations for Two,11.1,Three
791,Red: The True Story of Red Riding Hood,28.54,Three
792,Ready Player One,19.07,Four
793,Quiet: The Power of Introverts in a World That Can't Stop Talking,43.55,One
794,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,Three
795,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,One
796,Packing for Mars: The Curious Science of Life in the Void,56.68,Two
797,Outliers: The Story of Success,14.16,One
798,Original Fake,31.45,Three
799,Orange Is the New Black,24.61,Two
800,One for the Money (Stephanie Plum #1),32.87,Two
801,Notes from a Small Island (Notes From a Small Island #1),40.17,One
802,Night (The Night Trilogy #1),13.51,One
803,Neither Here nor There: Travels in Europe,38.95,Three
804,Naked,31.69,Three
805,Morning Star (Red Rising #3),29.4,One
806,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,One
807,Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,Two
808,Me Talk Pretty One Day,57.6,Two
809,Manuscript Found in Accra,34.98,Two
810,Lust & Wonder,11.87,Two
811,Lila (Gilead #3),12.47,Three
812,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,Two
813,Life Without a Recipe,59.04,Five
814,Life After Life,26.13,Two
815,Letter to a Christian Nation,22.2,One
816,Let's Pretend This Never Happened: A Mostly True Memoir,45.11,One
817,Legend (Legend #1),43.69,Four
818,"Lean In: Women, Work, and the Will to Lead",25.02,One
819,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,Five
820,Lady Renegades (Rebel Belle #3),53.04,Five
821,Jurassic Park (Jurassic Park #1),44.97,One
822,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,One
823,Is Everyone Hanging Out Without Me? (And Other Concerns),20.11,Three
824,Into the Wild,56.7,Five
825,Inferno (Robert Langdon #4),41.0,Five
826,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,Three
827,If I Run (If I Run #1),49.97,Four
828,I've Got Your Number,19.69,One
829,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,Two
830,Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,Three
831,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,Two
832,House of Leaves,54.89,One
833,Horrible Bear!,37.52,Two
834,Holidays on Ice,51.07,Two
835,Heir to the Sky,44.07,Four
836,Green Eggs and Ham (Beginner Books B-16),10.79,Four
837,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,One
838,Gratitude,26.66,Five
839,Gone Girl,37.6,Five
840,Golden (Heart of Dread #3),42.21,Four
841,Girl in the Blue Coat,46.83,Two
842,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,Two
843,"Friday Night Lights: A Town, a Team, and a Dream",51.22,Three
844,Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,Four
845,Fifty Shades Freed (Fifty Shades #3),15.36,Five
846,Fellside,38.62,One
847,Extreme Prey (Lucas Davenport #26),25.4,Three
848,Eragon (The Inheritance Cycle #1),43.87,Three
849,Eclipse (Twilight #3),18.74,One
850,Dune (Dune #1),54.86,One
851,Dracula,52.62,Three
852,Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,One
853,Disrupted: My Misadventure in the Start-Up Bubble,15.28,Five
854,Dead Wake: The Last Crossing of the Lusitania,39.24,Five
855,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,One
856,Darkfever (Fever #1),56.02,One
857,Dark Places,23.9,Five
858,Crazy Rich Asians (Crazy Rich Asians #1),49.13,Five
859,Counting Thyme,10.62,One
860,Cosmos,36.17,Two
861,Civilization and Its Discontents,59.95,Two
862,Cinder (The Lunar Chronicles #1),26.09,One
863,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,37.35,Two
864,Career of Evil (Cormoran Strike #3),24.72,Two
865,Breaking Dawn (Twilight #4),35.28,Five
866,Brave Enough,51.32,Five
867,Boy Meets Boy,21.12,Three
868,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,Two
869,Blink: The Power of Thinking Without Thinking,21.74,Five
870,Black Flags: The Rise of ISIS,40.87,One
871,"Black Butler, Vol. 1 (Black Butler #1)",49.31,One
872,Big Little Lies,22.11,One
873,Between Shades of Gray,20.79,Five
874,Best of My Love (Fool's Gold #20),27.41,Two
875,Beowulf,38.35,Two
876,Beautiful Creatures (Caster Chronicles #1),21.55,Five
877,Awkward,38.02,Two
878,Ash,22.06,Four
879,Are We There Yet?,10.66,Three
880,Are We Smart Enough to Know How Smart Animals Are?,56.58,One
881,Annie on My Mind,36.83,Five
882,And Then There Were None,35.01,Two
883,A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,Four
884,A Visit from the Goon Squad,14.08,Five
885,A Storm of Swords (A Song of Ice and Fire #3),31.22,Two
886,A Heartbreaking Work of Staggering Genius,54.29,Five
887,8 Keys to Mental Health Through Exercise,31.04,One
888,#GIRLBOSS,50.96,One
889,"The Suffragettes (Little Black Classics, #96)",11.89,Two
890,The Sense of an Ending,31.38,Three
891,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,One
892,The Course of Love,16.78,Three
893,Sugar Rush (Offensive Line #2),24.42,One
894,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Three
895,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,One
896,New Moon (Twilight #2),12.86,Four
897,Life,31.58,Five
898,Kindle Paperwhite User's Guide,34.0,Three
899,H is for Hawk,57.42,Five
900,Girl Online On Tour (Girl Online #2),53.47,One
901,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Five
902,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,Four
903,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Four
904,While You Were Mine,41.32,Five
905,Where Lightning Strikes (Bleeding Stars #3),39.77,Three
906,When I'm Gone,51.96,Three
907,Ways of Seeing,39.51,Five
908,"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,One
909,Vampire Girl (Vampire Girl #1),53.82,Two
910,Twenty Love Poems and a Song of Despair,30.95,Four
911,Travels with Charley: In Search of America,57.82,Five
912,Three Wishes (River of Time: California #1),44.18,Two
913,This One Moment (Pushing Limits #1),48.71,One
914,The Zombie Room,19.69,Five
915,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,Two
916,The Tumor,41.56,Five
917,The Story of Hong Gildong,43.19,Four
918,The Silent Wife,12.34,Five
919,The Silent Twin (Detective Jennifer Knight #3),36.25,Three
920,The Selfish Gene,29.45,One
921,The Secret Healer,34.56,Three
922,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,Three
923,The Republic,33.78,Three
924,The Odyssey,29.64,Three
925,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four
926,The Nicomachean Ethics,36.34,One
927,The Name of the Wind (The Kingkiller Chronicle #1),50.59,Three
928,The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,One
929,The Little Prince,45.42,Two
930,The Light of the Fireflies,54.43,One
931,The Last Girl (The Dominion Trilogy #1),36.26,Two
932,The Iliad,16.16,One
933,The Hook Up (Game On #1),36.29,Five
934,The Haters,27.89,Five
935,The Girl You Lost,12.29,Five
936,The Girl In The Ice (DCI Erika Foster #1),15.85,Three
937,The End of the Jesus Era (An Investigation #1),14.4,One
938,The Edge of Reason (Bridget Jones #2),19.18,Four
939,The Complete Maus (Maus #1-2),10.64,Three
940,The Communist Manifesto,14.76,Three
941,The Bhagavad Gita,57.49,Three
942,The Bette Davis Club,30.66,Three
943,The Art of Not Breathing,40.83,Four
944,Taking Shots (Assassins #1),18.88,Two
945,Starlark,25.83,Three
946,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,Three
947,Sister Sable (The Mad Queen #1),13.33,Three
948,Shatter Me (Shatter Me #1),42.4,One
949,Shameless,58.35,Three
950,Shadow Rites (Jane Yellowrock #10),21.72,Four
951,Settling the Score (The Summer Games #1),44.91,Two
952,Sense and Sensibility,37.46,One
953,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,One
954,"Rhythm, Chord & Malykhin",28.34,Two
955,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,Five
956,Paradise Lost (Paradise #1),24.96,One
957,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,Four
958,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,Three
959,Origins (Alphas 0.5),28.99,One
960,One Second (Seven #7),52.94,Two
961,On the Road (Duluoz Legend),32.36,Three
962,Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,Two
963,Off Sides (Off #1),39.45,Five
964,Of Mice and Men,47.11,Two
965,Myriad (Prentor #1),58.75,Four
966,My Perfect Mistake (Over the Top #1),38.92,Two
967,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,Four
968,Meditations,25.89,Two
969,Matilda,28.34,One
970,Lost Among the Living,27.7,Four
971,Lord of the Flies,24.89,Three
972,Listen to Me (Fusion #1),58.99,Three
973,Kitchens of the Great Midwest,57.2,Five
974,Jane Eyre,38.43,Five
975,Imperfect Harmony,34.74,Four
976,Icing (Aces Hockey #2),40.44,Four
977,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,Three
978,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,Four
979,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,Four
980,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,Five
981,Frankenstein,38.0,Two
982,Forever Rockers (The Rocker #12),28.8,Three
983,Fighting Fate (Fighting #6),39.24,Three
984,Emma,32.93,Two
985,"Eat, Pray, Love",51.32,Three
986,Deep Under (Walker Security #1),47.09,Five
987,Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,Four
988,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,Three
989,Charity's Cross (Charles Towne Belles #4),41.24,One
990,Bright Lines,39.07,Five
991,Bridget Jones's Diary (Bridget Jones #1),29.82,One
992,Bounty (Colorado Mountain #7),37.26,Four
993,Blood Defense (Samantha Brinkman #1),20.3,Three
994,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,Five
995,Beyond Good and Evil,43.38,One
996,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,One
